impressions,word_count,n_tags,external_link,media,post_day
26,38,7,False,True,Friday
2389,77,2,True,True,Thursday
43,54,4,True,True,Wednesday
50,167,3,True,False,Tuesday
40,56,1,True,True,Monday
37,19,7,False,True,Friday
35,50,2,True,True,Thursday
46,55,2,True,True,Wednesday
215,95,3,True,False,Tuesday
21,40,3,False,False,Monday
64,47,5,False,True,Friday
62,27,3,False,False,Thursday
50,63,0,True,True,Thursday
54,43,3,True,False,Wednesday
85,65,2,True,False,Tuesday
60,54,3,False,False,Tuesday
45,40,3,True,False,Monday
133,26,4,False,True,Friday
72,48,0,True,True,Thursday
64,43,3,True,False,Wednesday
62,39,0,True,True,Wednesday
98,53,0,True,False,Tuesday
61,21,1,True,True,Monday
94,23,3,False,True,Friday
210,21,1,True,False,Thursday
115,36,2,True,True,Wednesday
137,52,0,True,True,Wednesday
91,34,0,True,True,Wednesday
98,26,0,True,True,Tuesday
133,36,1,True,False,Tuesday
45,125,1,False,False,Tuesday
110,46,0,True,True,Monday
85,24,2,True,True,Friday
143,27,3,False,True,Friday
104,66,4,True,False,Thursday
114,122,3,True,False,Wednesday
1226,55,4,True,True,Tuesday
180,37,1,True,False,Monday
403,33,1,True,False,Friday
102,59,0,True,False,Wednesday
371,77,0,True,False,Tuesday
132,40,0,True,False,Friday
4894,113,0,True,False,Friday
241,17,0,True,True,Wednesday
620,40,0,True,True,Friday
5584,68,0,False,False,Tuesday
341,20,0,True,False,Tuesday
209,30,0,True,False,Monday
253,37,0,True,True,Saturday
448,56,0,True,False,Friday
320,42,0,True,True,Friday
336,17,3,False,True,Wednesday
900,155,7,True,False,Thursday
574,200,8,True,False,Saturday
507,139,9,True,False,Friday
303,170,7,True,False,Thursday
797,135,11,True,False,Wednesday
259,113,13,True,False,Tuesday
408,33,5,True,True,Tuesday
1332,234,8,True,False,Monday
1287,90,7,True,False,Sunday
415,159,7,True,False,Saturday
774,105,7,True,False,Friday
439,312,8,True,False,Friday
957,104,7,True,False,Thursday
1697,91,6,True,False,Thursday
4591,109,6,True,False,Tuesday
262,34,5,True,False,Monday
2756,153,6,True,False,Monday
435,147,5,True,True,Friday
2013,149,6,True,False,Thursday
1503,142,3,True,False,Wednesday
365,115,5,True,False,Tuesday
882,88,4,True,False,Monday
459,67,3,True,False,Monday
1166,71,5,False,True,Wednesday
204,25,5,True,True,Tuesday
232,92,4,True,False,Monday
170,53,4,True,True,Monday
153,23,0,True,False,Friday
313,74,3,True,False,Friday
412,58,5,True,True,Thursday
261,27,6,True,True,Wednesday
305,19,9,True,True,Wednesday
230,43,3,True,True,Thursday
286,38,4,True,True,Wednesday
392,48,4,True,True,Sunday
588,31,5,False,False,Saturday
529,42,2,False,False,Thursday
